time (seconds),weight (kg)
5.27527213097,0.499
5.49935317039,0.499
5.49962496758,0.499
5.49988794327,0.499
5.50014901161,0.471
5.50041007996,0.499
5.75436711311,0.499
5.75463604927,0.471
5.75489807129,0.499
5.75515794754,0.527
5.75541806221,0.471
5.75567793846,0.499
5.98793506622,0.499
5.98833012581,0.499
5.98871898651,0.499
5.98900198936,0.527
5.98928713799,0.499
6.22639298439,0.499
6.52430105209,0.527
6.52457404137,0.527
6.52483797073,0.554
6.52509999275,0.499
6.5253610611,0.527
6.52562212944,0.554
6.52588200569,0.554
6.75849199295,0.554
6.75875997543,0.499
6.75902199745,0.499
6.75931596756,0.499
6.75957608223,0.527
6.75983500481,0.499
7.03042006493,0.527
7.03079009056,0.527
7.03115105629,0.499
7.03151106834,0.499
7.03187203407,0.527
7.03223109245,0.499
7.27609610558,0.527
7.27636694908,0.527
7.27663016319,0.499
7.27689099312,0.416
7.27715110779,0.416
7.51091909409,0.388
7.74668693542,0.416
7.74695706367,0.388
7.74721908569,0.416
7.74748015404,0.443
7.74774003029,0.443
7.74799895287,0.443
7.98598694801,0.443
7.98625707626,0.416
7.98651909828,0.416
7.98677897453,0.443
7.98703813553,0.416
8.21852207184,0.249
8.21879410744,0.471
8.21905708313,0.388
8.21931910515,0.36
8.21958017349,0.416
8.21984100342,0.416
8.51402401924,0.416
8.51429414749,0.416
8.51455712318,0.416
8.51481699944,0.443
8.51507711411,0.416
8.51533603668,0.388
8.51559495926,0.443
8.73412513733,0.443
8.95559215546,0.416
8.95586109161,0.416
8.95612406731,0.416
8.95638394356,0.416
9.3013241291,0.443
9.30162811279,0.416
9.30202913284,0.443
9.30239605904,0.443
9.30281615257,0.416
9.30318808556,0.443
9.30359005928,0.443
9.30400514603,0.333
9.56242012978,0.416
9.56278300285,0.471
9.5631070137,0.443
9.56340909004,0.388
9.56373810768,0.416
9.56405305862,0.416
9.78616499901,0.416
9.78643608093,0.416
9.78669595718,0.388
9.78695511818,0.388
9.78721308708,0.416
9.78747200966,0.388
10.0113790035,0.36
10.233880043,0.36
10.2341501713,0.388
10.2344110012,0.388
10.2346701622,0.36
10.4632191658,0.388
10.4636950493,0.416
10.4641900063,0.388
10.4645850658,0.388
10.6896660328,0.416
10.6899371147,0.388
10.6901991367,0.416
10.9144389629,0.416
10.9147500992,0.36
10.9151849747,0.443
10.9156150818,0.416
11.1367380619,0.388
11.1370091438,0.416
11.1372711658,0.416
11.1375851631,0.388
11.3612151146,0.36
11.3614859581,0.416
11.3617479801,0.388
11.5858919621,0.388
11.5861639977,0.416
11.5864281654,0.416
11.586689949,0.416
11.8145539761,0.416
11.814825058,0.388
11.8150880337,0.388
11.815349102,0.416
12.0417571068,0.388
12.0420291424,0.388
12.0422921181,0.388
12.042552948,0.416
12.2705800533,0.416
12.2709929943,0.388
12.2713251114,0.388
12.2716341019,0.388
12.4967000484,0.388
12.4969689846,0.388
12.4972300529,0.416
12.7227301598,0.416
12.7230000496,0.388
12.7232611179,0.416
12.7235200405,0.388
12.9537880421,0.388
12.9541320801,0.416
12.9546570778,0.388
12.9550580978,0.416
13.3317649364,0.416
13.3320510387,0.388
13.3323180676,0.388
13.3325819969,0.416
13.3328449726,0.416
13.3331069946,0.388
13.5826101303,0.388
13.5828881264,0.416
13.5831530094,0.416
13.5834159851,0.388
13.830384016,0.36
13.8306560516,0.388
13.830919981,0.36
13.8311829567,0.416
14.0704829693,0.388
14.0707671642,0.416
14.0710330009,0.388
14.071295023,0.388
14.3030841351,0.416
14.3033599854,0.388
14.3036251068,0.36
14.3039410114,0.388
14.6909101009,0.388
14.6911690235,0.416
14.6915230751,0.388
14.6918051243,0.388
14.6920681,0.388
14.6923351288,0.416
14.6925771236,0.443
14.9358150959,0.416
14.9361031055,0.388
14.9363679886,0.416
14.9366309643,0.388
15.1633000374,0.388
15.1635730267,0.416
15.1638360023,0.388
15.4251811504,0.388
15.4254529476,0.499
15.4257161617,1.774
15.4259779453,4.822
15.42623806,9.783
15.8152880669,14.217
15.8155651093,15.409
15.815830946,16.018
15.8161010742,17.986
15.8163449764,20.065
15.8165891171,21.173
16.0723769665,22.199
16.0726461411,23.196
16.0729081631,24.249
16.0731680393,24.776
16.3083920479,25.247
16.3086700439,25.691
16.3091311455,26.162
16.3095600605,26.716
16.5970449448,27.437
16.5975141525,28.905
16.5979189873,29.46
16.5981919765,28.157
16.8765311241,27.963
16.8768789768,29.099
16.8771541119,30.624
16.8774280548,30.707
16.8776919842,30.54
17.1487510204,30.845
17.1490311623,31.316
17.1493010521,31.566
17.1496551037,31.788
17.4142210484,31.982
17.4144980907,32.12
17.4149031639,32.259
17.415375948,32.453
17.6659030914,32.619
17.6661789417,32.813
17.6664440632,32.952
