time (seconds),weight (kg)
5.88741111755,1.136
6.10094308853,1.219
6.10121107101,1.413
6.10162901878,1.441
6.10206103325,1.524
6.32249307632,1.635
6.32276415825,1.746
6.32302713394,1.801
6.54534697533,1.912
6.54561805725,2.023
6.54588007927,2.079
6.54614114761,2.162
6.757417202,2.245
6.75768709183,2.383
6.75794911385,2.439
6.7582089901,2.467
6.98785614967,2.494
6.98846912384,2.633
6.98908400536,2.771
6.9896709919,2.799
7.23142504692,2.855
7.23169612885,2.965
7.23199605942,3.076
7.23225903511,3.049
7.23592209816,3.132
7.45451116562,3.242
7.45478105545,3.381
7.45504403114,3.409
7.67817902565,3.464
7.67845010757,3.575
7.67871212959,3.658
7.67897319794,3.714
7.91210412979,3.741
7.91238307953,3.824
7.91264820099,3.963
7.91290903091,3.991
7.9158949852,4.018
8.17720508575,4.102
8.17747807503,4.185
8.1777381897,4.268
8.17799711227,4.323
8.39567303658,4.406
8.39594316483,4.434
8.39620518684,4.517
8.39646601677,4.573
8.59635210037,4.628
8.5966231823,4.656
8.59688401222,4.739
8.80205798149,4.794
8.80233001709,4.878
8.80259418488,4.905
8.8028550148,4.933
9.00637316704,4.988
9.00664401054,5.044
9.00690698624,5.099
9.21387815475,5.238
9.21423006058,5.349
9.2145690918,5.487
9.21489906311,5.515
9.41742515564,5.543
9.41769719124,5.57
9.41796016693,5.654
9.62178611755,5.709
9.62205719948,5.848
9.62231898308,5.875
9.62258005142,5.958
9.83408617973,5.986
9.83435606956,6.014
9.83461713791,6.097
10.0446841717,6.18
10.0449531078,6.236
10.0452141762,6.236
10.0454730988,6.18
10.2576391697,6.208
10.2579321861,6.208
10.2582349777,6.236
10.4694590569,6.346
10.4697291851,6.457
10.4699921608,6.568
10.4702529907,6.651
10.6854960918,6.679
10.6857659817,6.734
10.6860280037,6.79
10.686289072,6.873
10.9014151096,6.901
10.9017701149,6.901
10.9020991325,6.873
11.1153311729,6.928
11.1156020164,7.012
11.1158649921,7.067
11.1161360741,7.206
11.3301320076,7.316
11.3304030895,7.372
11.3306660652,7.455
11.5326349735,7.483
11.5329060555,7.538
11.5331690311,7.594
11.5334291458,7.566
11.7610640526,7.594
11.7613329887,7.677
11.7615962029,7.732
11.7618560791,7.788
11.9926960468,7.871
11.9929680824,7.954
11.9932310581,7.982
11.9934930801,8.065
12.2288939953,8.092
12.2291660309,8.176
12.2294290066,8.259
12.2296900749,8.231
12.443614006,8.203
12.4438860416,8.231
12.4441502094,8.259
12.6592240334,8.37
12.6594941616,8.48
12.6597571373,8.536
12.6600182056,8.591
12.873100996,8.647
12.8733921051,8.674
12.8738641739,8.758
12.8742611408,8.813
13.0877130032,8.868
13.0879840851,8.813
13.0882461071,8.896
13.3052990437,8.896
13.3055701256,8.952
13.3058331013,9.035
13.3060941696,9.09
13.517925024,9.201
13.5181970596,9.256
13.5184590816,9.284
13.7359580994,9.395
13.7362291813,9.423
13.7364890575,9.367
13.7367491722,9.256
13.9542040825,9.312
13.9544770718,9.395
13.9547400475,9.506
13.9550011158,9.617
14.1714730263,9.7
14.1717441082,9.727
14.1720061302,9.783
14.3952581882,9.838
14.3956751823,9.921
14.3961791992,9.977
14.3965001106,10.005
14.6200840473,10.005
14.6203551292,10.005
14.6206171513,10.06
14.6208779812,10.199
14.8444499969,10.337
14.8447391987,10.365
14.8450021744,10.503
15.0633130074,10.503
15.063642025,10.614
15.0641570091,10.753
15.0645401478,10.781
15.283780098,10.836
15.284250021,10.891
15.2846190929,10.947
15.2850000858,11.058
15.5055711269,11.169
15.5058410168,11.224
15.5061039925,11.307
15.7305459976,11.39
15.7308189869,11.39
15.7311060429,11.418
15.7313871384,11.473
15.9567620754,11.557
15.9570350647,11.584
15.9572970867,11.723
16.1879620552,11.806
16.1882331371,11.945
16.1884942055,12.028
16.1887540817,12.111
16.4158680439,12.166
16.4161381721,12.277
16.4164001942,12.222
16.4166691303,12.305
16.6405181885,12.471
