time (seconds),weight (kg)
7.71428513527,1.025
7.93218398094,1.109
7.93262004852,1.164
7.93301606178,1.192
7.93337512016,1.247
8.15263414383,1.33
8.15291213989,1.358
8.1531829834,1.469
8.15345311165,1.552
8.38013005257,1.718
8.38040709496,1.774
8.38067603111,1.885
8.38100194931,1.995
8.60140705109,2.134
8.60180616379,2.189
8.60217213631,2.3
8.60250902176,2.356
8.80445408821,2.522
8.8047311306,2.55
8.80500006676,2.605
9.01349210739,2.716
9.01377010345,2.91
9.01403999329,2.91
9.01430916786,2.965
9.22232794762,2.993
9.22260594368,3.132
9.22288393974,3.132
9.22315216064,3.27
9.43044805527,3.381
9.430727005,3.575
9.43099713326,3.603
9.6435251236,3.741
9.64380407333,3.88
9.64407515526,3.991
9.64434313774,4.102
9.86533904076,4.157
9.86561608315,4.268
9.8658850193,4.351
9.86615300179,4.379
10.0727200508,4.434
10.0729980469,4.517
10.0732681751,4.628
10.0735361576,4.711
10.2785570621,4.794
10.278856039,4.85
10.2791481018,4.905
10.485681057,4.961
10.4859690666,5.044
10.4862420559,5.127
10.4865119457,5.238
10.6928801537,5.266
10.693156004,5.376
10.6934411526,5.404
10.9085690975,5.515
10.908946991,5.543
10.9092581272,5.626
10.9095449448,5.737
11.11424613,5.82
11.1145250797,5.875
11.1147949696,5.958
11.3238999844,5.986
11.3243250847,6.014
11.324805975,6.069
11.3250901699,6.097
11.5327479839,6.18
11.5331749916,6.263
11.5334570408,6.319
11.7478010654,6.374
11.7480771542,6.402
11.7483460903,6.43
11.7486140728,6.485
11.9633769989,6.54
11.963654995,6.596
11.9639241695,6.651
12.1901490688,6.679
12.1904270649,6.707
12.1906960011,6.79
12.1909639835,6.845
12.4096021652,6.845
12.4098789692,6.984
12.4101490974,7.039
12.4104180336,7.122
12.6248271465,7.122
12.6251051426,7.15
12.6253731251,7.206
12.6256411076,7.261
12.8440999985,7.344
12.8443901539,7.4
12.8446600437,7.427
13.0653960705,7.51
13.0657911301,7.594
13.0662071705,7.649
13.0665979385,7.704
13.2864201069,7.788
13.2866990566,7.843
13.2869689465,7.926
13.287238121,8.009
13.5082321167,8.065
13.5085430145,8.12
13.5088150501,8.176
13.5090839863,8.259
13.7223279476,8.37
13.7226109505,8.425
13.7228829861,8.453
13.9351680279,8.48
13.9354491234,8.536
13.9357199669,8.591
13.9359891415,8.619
14.149543047,8.674
14.149930954,8.758
14.1504120827,8.841
14.3638579845,9.09
14.3641350269,9.312
14.3644039631,9.533
14.3646719456,9.672
14.5804481506,9.783
14.5807261467,9.894
14.5809960365,10.032
14.581264019,10.254
14.7990140915,10.337
14.7992930412,10.393
14.7995631695,10.42
15.0137059689,10.476
15.0139820576,10.587
15.0142500401,10.697
15.0145161152,10.836
15.227820158,10.947
15.2280981541,11.085
15.2283689976,11.169
15.4425740242,11.224
15.4428520203,11.224
15.4431221485,11.279
15.4433889389,11.446
15.6606190205,11.584
15.6608979702,11.667
15.6611690521,11.723
15.8853931427,11.723
15.8856699467,11.834
15.8859541416,11.889
15.8862230778,11.945
16.1089160442,12.028
16.1092660427,12.222
16.1095850468,12.333
16.3365380764,12.416
16.3368160725,12.499
16.3370850086,12.554
16.3373520374,12.61
16.5994610786,12.665
16.5997390747,12.693
16.6000101566,12.748
16.6002800465,12.804
16.818983078,12.942
16.8192620277,13.053
16.8195331097,13.164
16.8198020458,13.219
17.040692091,13.247
17.0409841537,13.33
17.0412549973,13.33
17.2632110119,13.358
17.2634899616,13.386
17.2637600899,13.441
17.2640299797,13.552
17.4862580299,13.635
17.4865441322,13.718
17.4868149757,13.801
17.4870841503,13.912
17.7085580826,13.995
17.7088370323,13.94
17.7091081142,13.94
17.9315881729,13.968
17.9318749905,13.995
17.9321451187,14.079
17.9324150085,14.189
18.152973175,14.328
18.153249979,14.439
18.1535210609,14.467
18.3782291412,14.494
18.378508091,14.522
18.3787801266,14.577
18.3790509701,14.605
18.6008839607,14.605
18.6011731625,14.661
18.6014530659,14.799
18.6017320156,14.938
18.8237440586,15.021
18.8240230083,15.049
18.8242940903,15.076
19.0458869934,15.187
19.0461649895,15.215
19.046434164,15.298
19.0467021465,15.353
19.3053331375,15.381
19.3057670593,15.436
19.3062160015,15.575
19.3066539764,15.686
19.5715601444,15.797
19.5718381405,15.908
19.5721080303,15.908
19.5723760128,15.991
19.8068370819,15.963
19.807115078,15.908
19.8073861599,15.852
19.8076541424,15.963
20.0374319553,16.046
20.037815094,16.129
20.0381219387,16.268
20.0384590626,16.24
20.2678649426,16.323
20.2681729794,16.49
20.2684440613,16.573
20.4965851307,16.628
20.4968631268,16.573
20.4971339703,16.545
20.4974031448,16.573
20.7069380283,16.711
20.7072191238,16.794
20.7074890137,16.878
20.7077569962,16.905
20.9451041222,16.961
20.9453811646,17.016
20.9456501007,17.072
21.1579871178,17.099
21.1584200859,17.155
21.1587531567,17.155
21.1590771675,17.182
21.3664450645,17.238
21.3667240143,17.349
21.3669941425,17.432
21.5786061287,17.543
21.5788850784,17.57
21.5791549683,17.626
21.5794241428,17.654
21.7924001217,17.654
21.792730093,17.681
21.7930619717,17.764
22.0020961761,17.764
22.0023751259,17.792
22.0026471615,17.875
22.2157111168,17.903
22.2159891129,18.014
22.2162590027,18.152
22.2165260315,18.208
22.4288740158,18.208
22.4292681217,18.291
22.4296240807,18.346
22.6481630802,18.346
22.64844203,18.402
22.6487150192,18.43
22.6489851475,18.513
22.8642749786,18.651
22.8645570278,18.679
22.8648300171,18.762
23.0772080421,18.845
23.0774879456,18.901
23.0777590275,18.956
23.0780279636,19.012
23.2892370224,18.984
23.2895159721,19.039
23.2897870541,19.206
23.5060350895,19.289
23.5063180923,19.344
23.5065920353,19.4
23.5068640709,19.427
23.7231631279,19.483
23.723441124,19.566
23.7237110138,19.566
23.9385941029,19.566
23.9388720989,19.649
23.9391441345,19.732
23.9394130707,19.843
24.1576771736,20.009
24.1579561234,20.037
24.1582269669,20.037
24.3769741058,20.037
24.3772530556,19.982
24.3775229454,20.037
24.37779212,20.12
24.5953121185,20.286
24.5955920219,20.425
24.5958640575,20.564
24.8172650337,20.591
24.8176529408,20.591
24.8181459904,20.674
24.8185281754,20.702
25.0258059502,20.647
25.0260839462,20.758
25.0263540745,20.896
25.2321770191,21.09
25.2324559689,21.201
25.2327270508,21.146
25.2329969406,21.229
25.4365849495,21.256
25.4368810654,21.146
25.4371981621,21.201
25.6388790607,21.34
25.6391580105,21.506
25.6394281387,21.617
25.852807045,21.7
25.8531279564,21.755
25.8534009457,21.727
25.8536851406,21.783
26.0686919689,21.755
26.068969965,21.727
26.0692410469,21.921
26.2719130516,22.005
26.272192955,22.143
26.2726080418,22.226
26.4760220051,22.282
26.4763009548,22.282
26.4765710831,22.337
26.4768400192,22.448
26.7247991562,22.614
26.7252149582,22.697
26.7256150246,22.753
26.7260100842,22.836
26.9368021488,22.947
26.9370801449,22.864
26.9373509884,22.891
27.1406919956,23.085
27.1409730911,23.224
27.1413769722,23.279
27.3480610847,23.307
27.3483390808,23.307
27.3486101627,23.307
27.3488790989,23.446
27.5522341728,23.501
27.5525140762,23.557
27.5527861118,23.529
27.7571029663,23.557
27.7573821545,23.667
27.757652998,23.751
27.9657850266,23.751
27.9660651684,23.751
27.9663360119,23.834
27.966604948,23.945
28.17542696,24.028
28.1757080555,24.111
28.1759800911,24.083
28.3833911419,24.111
28.3836700916,24.083
28.3839399815,24.111
28.5943331718,24.194
28.5946111679,24.305
28.5948810577,24.36
28.5951600075,24.416
28.8072431087,24.471
28.8075220585,24.388
28.8077909946,24.36
29.0215859413,24.61
29.0218641758,24.748
29.0221340656,24.748
29.0224030018,24.721
29.2313840389,24.748
29.2318029404,24.887
29.2323231697,24.97
29.4505620003,24.97
29.451184988,25.053
29.4517731667,25.136
29.4524559975,25.219
29.6993060112,25.247
29.6995921135,25.303
29.6999700069,25.33
29.7003309727,25.358
29.9165771008,25.497
29.91695714,25.524
29.9173719883,25.635
30.1373720169,25.801
30.1376521587,25.94
30.1379220486,25.968
30.1381919384,25.995
30.3475620747,26.023
30.3478410244,26.134
30.3481121063,26.3
30.5567951202,26.411
30.55707407,26.467
30.5573451519,26.522
30.5576140881,26.577
30.7686290741,26.605
30.768912077,26.688
30.7691891193,26.716
30.9804041386,26.827
30.9806830883,26.91
30.9809541702,26.965
31.1942920685,27.021
31.1945719719,27.076
31.1948430538,27.187
31.1951141357,27.215
31.4086010456,27.243
31.408880949,27.298
31.4091510773,27.409
31.6247291565,27.464
31.6251139641,27.603
31.6254460812,27.741
31.6257691383,27.797
31.8343579769,27.88
31.8346371651,27.991
31.8349070549,27.991
32.0423021317,27.963
32.0426249504,28.018
32.0429360867,28.018
32.0432779789,28.185
32.2493150234,28.323
32.2495939732,28.323
32.2498641014,28.268
32.4584341049,28.406
32.458835125,28.517
32.4593570232,28.517
32.6662790775,28.573
32.6665589809,28.573
32.6668300629,28.628
32.667098999,28.767
32.8800721169,28.878
32.8803520203,28.933
32.8806231022,29.016
33.0896501541,29.016
33.0899300575,29.155
33.0902011395,29.349
33.3034601212,29.376
