time (seconds),weight (kg)
104.860247135,137.626
104.860652924,137.82
104.861231089,138.014
105.105654001,137.986
105.105929136,137.931
105.106194973,138.125
105.106458902,138.374
105.353204966,138.319
105.353482008,138.291
105.353748083,138.319
105.354012012,138.513
105.601438999,138.679
105.601714134,138.873
105.601980925,139.012
105.850074053,138.928
105.850353003,138.873
105.850619078,138.818
105.850883007,138.845
106.097655058,139.039
106.098083019,139.233
106.09850502,139.344
106.098875046,139.4
106.343708992,139.344
106.343986034,139.316
106.344250917,139.316
106.59139204,139.4
106.591668129,139.566
106.591933012,139.594
106.592195988,139.621
106.836296082,139.898
106.836720943,140.009
106.837074041,139.926
106.837428093,139.843
107.084975958,139.926
107.085667133,140.037
107.086992979,140.092
107.088411093,140.12
107.333775997,140.231
107.334065914,140.342
107.334331036,140.314
107.5858531,140.286
107.586292982,140.286
107.586714029,140.37
107.587103128,140.619
107.841898918,140.924
107.842175007,140.979
107.842440128,140.896
107.842701912,140.896
108.091856956,140.896
108.092135906,140.868
108.092402935,140.896
108.096010923,141.062
108.34422493,141.284
108.344504118,141.478
108.344769955,141.423
108.60173893,141.367
108.602015972,141.34
108.602282047,141.395
108.602544069,141.506
108.876042128,141.644
108.876348972,141.7
108.876636982,141.7
108.876931906,141.7
109.124277115,141.672
109.124655962,141.755
109.125962019,141.866
109.126509905,142.116
109.37272501,142.226
109.372999907,142.282
109.373265982,142.448
109.373529911,142.448
109.61678195,142.393
109.617057085,142.337
109.617322922,142.337
109.863873959,142.531
109.864147902,142.753
109.864413023,142.947
109.864675999,143.058
110.116513014,142.975
110.116789103,142.947
110.117056131,142.919
110.117321014,142.975
110.361764908,143.03
110.362231016,143.03
110.363852978,143.113
110.610368967,143.363
110.610647917,143.529
110.610913992,143.474
110.611238003,143.418
110.866012096,143.501
110.866287947,143.668
110.866552114,143.806
110.866814137,143.861
111.112191916,143.889
111.112468004,143.889
111.112733126,143.834
111.361815929,143.889
111.362092972,144.0
111.362360001,144.194
111.36262393,144.305
111.611648083,144.416
111.611926079,144.527
111.612194061,144.499
111.612457991,144.499
111.864170074,144.443
111.864449024,144.471
111.864715099,144.499
111.864978075,144.637
112.113681078,144.831
112.113955975,144.915
112.114221096,144.859
112.362179995,144.859
112.362462044,144.804
112.362728119,144.859
112.362993956,144.942
112.612057924,145.053
112.612334967,145.275
112.612602949,145.358
112.612867117,145.275
112.858428955,145.33
112.858710051,145.275
112.858976126,145.247
113.106339931,145.247
113.106719017,145.441
113.107069016,145.829
113.107444048,145.857
113.354726076,145.829
113.355005026,145.801
113.355479002,145.857
113.355895996,146.023
113.609038115,146.189
113.609313011,146.3
113.609579086,146.383
113.609843016,146.328
113.859206915,146.328
113.859576941,146.383
113.859921932,146.605
114.107430935,146.827
114.107993126,147.076
114.108906031,147.132
114.109452963,147.076
114.355413914,147.021
114.355689049,146.965
114.355952978,147.076
